Season , MatchDate , HomeTeam        , AwayTeam        , FullTimeHomeGoals, FullTimeAwayGoals, FullTimeResult, HalfTimeHomeGoals, HalfTimeAwayGoals, HalfTimeResult, HomeShots, AwayShots, HomeShotsOnTarget, AwayShotsOnTarget, HomeCorners, AwayCorners, HomeFouls, AwayFouls, HomeYellowCards, AwayYellowCards, HomeRedCards, AwayRedCards, is_home
2022/23, 2022-08-05, Crystal Palace  , Arsenal         ,                 0,                 2, A             ,                 0,                 1, A             ,        10,        10,                 2,                 2,           3,           5,        16,        11,               1,               2,            0,            0, False
2022/23, 2022-08-13, Arsenal         , Leicester       ,                 4,                 2, H             ,                 2,                 0, H             ,        19,         6,                 7,                 2,           6,           2,        15,         9,               1,               1,            0,            0, True
2022/23, 2022-08-20, Bournemouth     , Arsenal         ,                 0,                 3, A             ,                 0,                 2, A             ,         6,        14,                 1,                 6,           3,           4,        12,        10,               2,               1,            0,            0, False
2022/23, 2022-08-27, Arsenal         , Fulham          ,                 2,                 1, H             ,                 0,                 0, D             ,        22,        11,                 8,                 3,           9,           2,         6,        12,               2,               3,            0,            0, True
2022/23, 2022-08-31, Arsenal         , Aston Villa     ,                 2,                 1, H             ,                 1,                 0, H             ,        22,         4,                 9,                 3,          10,           3,        10,        14,               2,               3,            0,            0, True
2022/23, 2022-09-04, Man United      , Arsenal         ,                 3,                 1, H             ,                 1,                 0, H             ,        10,        16,                 6,                 3,           2,           5,        13,         9,               3,               3,            0,            0, False
2022/23, 2022-09-18, Brentford       , Arsenal         ,                 0,                 3, A             ,                 0,                 2, A             ,         5,        13,                 2,                 7,           3,           3,        10,        10,               0,               2,            0,            0, False
2022/23, 2022-10-01, Arsenal         , Tottenham       ,                 3,                 1, H             ,                 1,                 1, D             ,        22,         7,                 9,                 3,           5,           2,        10,        10,               2,               1,            0,            1, True
2022/23, 2022-10-09, Arsenal         , Liverpool       ,                 3,                 2, H             ,                 2,                 1, H             ,        11,         8,                 7,                 3,           4,           3,        11,        11,               1,               2,            0,            0, True
2022/23, 2022-10-16, Leeds           , Arsenal         ,                 0,                 1, A             ,                 0,                 1, A             ,        16,         9,                 4,                 4,           6,           3,        10,        11,               0,               2,            0,            0, False
2022/23, 2022-10-23, Southampton     , Arsenal         ,                 1,                 1, D             ,                 0,                 1, A             ,        10,        12,                 3,                 3,           9,           4,        11,         8,               2,               1,            0,            0, False
2022/23, 2022-10-30, Arsenal         , Nott'm Forest   ,                 5,                 0, H             ,                 1,                 0, H             ,        24,         5,                10,                 2,           9,           4,         9,         8,               0,               1,            0,            0, True
2022/23, 2022-11-06, Chelsea         , Arsenal         ,                 0,                 1, A             ,                 0,                 0, D             ,         5,        14,                 1,                 2,           4,           6,        20,        13,               5,               2,            0,            0, False
