Match Number,Round Number,Date,Location,Home Team,Away Team,Result
9,1,17/08/2025 16:30,Old Trafford,Man Utd,Arsenal,0 - 1
11,2,23/08/2025 17:30,Emirates Stadium,Arsenal,Leeds,5 - 0
25,3,31/08/2025 16:30,Anfield,Liverpool,Arsenal,1 - 0
31,4,13/09/2025 12:30,Emirates Stadium,Arsenal,Nott'm Forest,3 - 0
41,5,21/09/2025 16:30,Emirates Stadium,Arsenal,Man City,1 - 1
58,6,28/09/2025 16:30,St. James' Park,Newcastle,Arsenal,1 - 2
61,7,04/10/2025 15:00,Emirates Stadium,Arsenal,West Ham,2 - 0
74,8,18/10/2025 17:30,Craven Cottage,Fulham,Arsenal,0 - 1
81,9,26/10/2025 15:00,Emirates Stadium,Arsenal,Crystal Palace,1 - 0
92,10,01/11/2025 16:00,Turf Moor,Burnley,Arsenal,0 - 2
108,11,08/11/2025 18:30,Stadium of Light,Sunderland,Arsenal,2 - 2
111,12,23/11/2025 17:30,Emirates Stadium,Arsenal,Spurs,4 - 1
123,13,30/11/2025 17:30,Stamford Bridge,Chelsea,Arsenal,1 - 1
131,14,03/12/2025 20:30,Emirates Stadium,Arsenal,Brentford,2 - 0
141,15,06/12/2025 13:30,Villa Park,Aston Villa,Arsenal,2 - 1
151,16,13/12/2025 21:00,Emirates Stadium,Arsenal,Wolves,2 - 1
164,17,20/12/2025 21:00,Hill Dickinson Stadium,Everton,Arsenal,0 - 1
171,18,27/12/2025 16:00,Emirates Stadium,Arsenal,Brighton,2 - 1
181,19,30/12/2025 21:15,Emirates Stadium,Arsenal,Aston Villa,4 - 1
192,20,03/01/2026 18:30,Vitality Stadium,Bournemouth,Arsenal,2 - 3
201,21,08/01/2026 21:00,Emirates Stadium,Arsenal,Liverpool,0 - 0
217,22,17/01/2026 18:30,The City Ground,Nott'm Forest,Arsenal,0 - 0
221,23,25/01/2026 17:30,Emirates Stadium,Arsenal,Man Utd,2 - 3
234,24,31/01/2026 16:00,Elland Road,Leeds,Arsenal,0 - 4
241,25,07/02/2026 16:00,Emirates Stadium,Arsenal,Sunderland,3 - 0
252,26,12/02/2026 21:00,Gtech Community Stadium,Brentford,Arsenal,1 - 1
269,27,22/02/2026 17:30,Tottenham Hotspur Stadium,Spurs,Arsenal,1 - 4
271,28,01/03/2026 17:30,Emirates Stadium,Arsenal,Chelsea,2 - 1
283,29,04/03/2026 20:30,American Express Stadium,Brighton,Arsenal,0 - 1
291,30,14/03/2026 18:30,Emirates Stadium,Arsenal,Everton,2 - 0
310,31,18/02/2026 21:00,Molineux Stadium,Wolves,Arsenal,2 - 2
311,32,11/04/2026 12:30,Emirates Stadium,Arsenal,Bournemouth,1 - 2
327,33,19/04/2026 16:30,Etihad Stadium,Man City,Arsenal,2 - 1
331,34,25/04/2026 17:30,Emirates Stadium,Arsenal,Newcastle,
341,35,02/05/2026 17:30,Emirates Stadium,Arsenal,Fulham,
360,36,10/05/2026 16:30,London Stadium,West Ham,Arsenal,
361,37,17/05/2026 15:00,Emirates Stadium,Arsenal,Burnley,
373,38,24/05/2026 16:00,Selhurst Park,Crystal Palace,Arsenal,
