Match Number,Round Number,Date,Location,Home Team,Away Team,Result
2,1,16/09/2025 17:45,Estadio de San Mamés,Athletic Club,Arsenal,0 - 2
30,2,01/10/2025 20:00,Arsenal Stadium,Arsenal,Olympiacos,2 - 0
39,3,21/10/2025 20:00,Arsenal Stadium,Arsenal,Atleti,4 - 0
56,4,04/11/2025 18:45,Eden Arena,Slavia Praha,Arsenal,0 - 3
86,5,26/11/2025 21:00,Arsenal Stadium,Arsenal,Bayern München,3 - 1
106,6,10/12/2025 21:00,Jan Breydelstadion,Club Brugge,Arsenal,0 - 3
112,7,20/01/2026 21:00,Stadio San Siro,Inter,Arsenal,1 - 3
132,8,28/01/2026 21:00,Arsenal Stadium,Arsenal,Kairat Almaty,3 - 2
165,R16 Game 1,11/03/2026 18:45,BayArena,Leverkusen,Arsenal,1 - 1
172,R16 Game 2,17/03/2026 21:00,Arsenal Stadium,Arsenal,Leverkusen,2 - 0
178,QF Game 1,07/04/2026 20:00,Estádio José Alvalade,Sporting CP,Arsenal,0 - 1
183,QF Game 2,15/04/2026 20:00,Arsenal Stadium,Arsenal,Sporting CP,0 - 0
186,SF Game 1,29/04/2026 20:00,Estadio Metropolitano,Atleti,Arsenal,
187,SF Game 2,05/05/2026 20:00,Arsenal Stadium,Arsenal,Atleti,
