Match Number,Round Number,Date,Location,Home Team,Away Team,Result
11,1,17/09/2025 20:00,Anfield,Liverpool,Atleti,3 - 2
23,2,30/09/2025 20:00,Estadio Metropolitano,Atleti,Frankfurt,5 - 1
39,3,21/10/2025 20:00,Arsenal Stadium,Arsenal,Atleti,4 - 0
59,4,04/11/2025 21:00,Estadio Metropolitano,Atleti,Union SG,3 - 1
87,5,26/11/2025 21:00,Estadio Metropolitano,Atleti,Inter,2 - 1
97,6,09/12/2025 21:00,PSV Stadion,PSV,Atleti,2 - 3
118,7,21/01/2026 18:45,Ali Sami Yen Spor Kompleksi,Galatasaray,Atleti,1 - 1
134,8,28/01/2026 21:00,Estadio Metropolitano,Atleti,Bodø/Glimt,1 - 2
152,Play-off Game 1,18/02/2026 21:00,Jan Breydelstadion,Club Brugge,Atleti,3 - 3
153,Play-off Game 2,24/02/2026 18:45,Estadio Metropolitano,Atleti,Club Brugge,4 - 1
164,R16 Game 1,10/03/2026 21:00,Estadio Metropolitano,Atleti,Tottenham,5 - 2
176,R16 Game 2,18/03/2026 21:00,Tottenham Hotspur Stadium,Tottenham,Atleti,3 - 2
180,QF Game 1,08/04/2026 20:00,Camp Nou,Barcelona,Atleti,0 - 2
181,QF Game 2,14/04/2026 20:00,Estadio Metropolitano,Atleti,Barcelona,1 - 2
186,SF Game 1,29/04/2026 20:00,Estadio Metropolitano,Atleti,Arsenal,
187,SF Game 2,05/05/2026 20:00,Arsenal Stadium,Arsenal,Atleti,
