Match Number,Round Number,Date,Location,Home Team,Away Team,Result
7,1,16/08/2025 17:30,Molineux Stadium,Wolves,Man City,0 - 4
18,2,23/08/2025 12:30,Etihad Stadium,Man City,Spurs,0 - 2
22,3,31/08/2025 14:00,American Express Stadium,Brighton,Man City,2 - 1
38,4,14/09/2025 16:30,Etihad Stadium,Man City,Man Utd,3 - 0
41,5,21/09/2025 16:30,Emirates Stadium,Arsenal,Man City,1 - 1
57,6,27/09/2025 15:00,Etihad Stadium,Man City,Burnley,5 - 1
64,7,05/10/2025 16:30,Gtech Community Stadium,Brentford,Man City,0 - 1
76,8,18/10/2025 15:00,Etihad Stadium,Man City,Everton,2 - 0
82,9,26/10/2025 15:00,Villa Park,Aston Villa,Man City,1 - 0
96,10,02/11/2025 17:30,Etihad Stadium,Man City,Bournemouth,3 - 1
106,11,09/11/2025 17:30,Etihad Stadium,Man City,Liverpool,3 - 0
119,12,22/11/2025 18:30,St. James' Park,Newcastle,Man City,2 - 1
126,13,29/11/2025 16:00,Etihad Stadium,Man City,Leeds,3 - 2
135,14,02/12/2025 20:30,Craven Cottage,Fulham,Man City,4 - 5
147,15,06/12/2025 16:00,Etihad Stadium,Man City,Sunderland,3 - 0
155,16,14/12/2025 15:00,Selhurst Park,Crystal Palace,Man City,0 - 3
167,17,20/12/2025 16:00,Etihad Stadium,Man City,West Ham,3 - 0
178,18,27/12/2025 13:30,The City Ground,Nott'm Forest,Man City,1 - 2
189,19,01/01/2026 21:00,Stadium of Light,Sunderland,Man City,0 - 0
197,20,04/01/2026 18:30,Etihad Stadium,Man City,Chelsea,1 - 1
208,21,07/01/2026 20:30,Etihad Stadium,Man City,Brighton,1 - 1
216,22,17/01/2026 13:30,Old Trafford,Man Utd,Man City,2 - 0
228,23,24/01/2026 16:00,Etihad Stadium,Man City,Wolves,2 - 0
239,24,01/02/2026 17:30,Tottenham Hotspur Stadium,Spurs,Man City,2 - 2
247,25,08/02/2026 17:30,Anfield,Liverpool,Man City,1 - 2
256,26,11/02/2026 20:30,Etihad Stadium,Man City,Fulham,3 - 0
266,27,21/02/2026 21:00,Etihad Stadium,Man City,Newcastle,2 - 1
276,28,28/02/2026 18:30,Elland Road,Leeds,Man City,0 - 1
287,29,04/03/2026 20:30,Etihad Stadium,Man City,Nott'm Forest,2 - 2
300,30,14/03/2026 21:00,London Stadium,West Ham,Man City,1 - 1
307,31,22/05/2026 15:00,Etihad Stadium,Man City,Crystal Palace,
314,32,12/04/2026 16:30,Stamford Bridge,Chelsea,Man City,0 - 3
327,33,19/04/2026 16:30,Etihad Stadium,Man City,Arsenal,2 - 1
334,34,22/04/2026 20:00,Turf Moor,Burnley,Man City,
346,35,04/05/2026 20:00,Hill Dickinson Stadium,Everton,Man City,
356,36,09/05/2026 17:30,Etihad Stadium,Man City,Brentford,
363,37,17/05/2026 15:00,Vitality Stadium,Bournemouth,Man City,
376,38,24/05/2026 16:00,Etihad Stadium,Man City,Aston Villa,
